
Feb 2, 2019	 	 	101 - 115 		
Jan 21, 2019 	 	111 - 130 		
Dec 25, 2018	 	127 - 101
Mar 14, 2018	 	106 - 117 		
Dec 22, 2017	 	106 - 113
Dec 18, 2017	 	114 - 116 	 	
Nov 29, 2017	 	123 - 127 	 	
Apr 12, 2017	 	 94 - 109 		
Nov 25, 2016	 	 85 - 109 		
Nov 23, 2016	 	106 - 149 		
Nov 4, 2016	 	    117 - 97
Mar 6, 2016	 	    112 - 95 
Jan 14, 2016	 	 98 - 116 		
Jan 5, 2016	 	     88 - 109 		
Nov 24, 2015	 	 77 - 111 		
Mar 16, 2015	 	105 - 108 		
Dec 23, 2014	 	115 - 105 
Nov 16, 2014	 	115 - 136 		
Nov 1, 2014	 	 	104 - 127 		
Apr 11, 2014	 	 95 - 112 		
Dec 21, 2013	 	 83 - 102 		
Nov 22, 2013	 	102 - 95 
Oct 30, 2013	 	 94 - 125 		
Apr 12, 2013	 	118 - 116 
Mar 25, 2013		103 - 109 		
Dec 22, 2012	 	118 - 115 	
Nov 9, 2012	 	    101 - 77 
Apr 18, 2012	 	 99 - 87 
Apr 1, 2012	 	    120 - 112
Mar 27, 2012	 	104 - 101 
Jan 6, 2012	 	    97 - 90 
Apr 6, 2011	 	 	 87 - 95 		
Jan 12, 2011	 	115 - 110
Nov 21, 2010	 	117 - 89
Oct 31, 2010	 	107 - 83
Mar 15, 2010	 	124 - 121
Feb 16, 2010	 	104 - 94
Dec 29, 2009	 	124 - 118
Nov 28, 2009	 	130 - 97
Mar 19, 2009	 	114 - 106
Feb 18, 2009	 	129 - 121
Jan 7, 2009	 	 	114 - 106
Dec 28, 2008	 	130 - 113 
Mar 24, 2008	 	123 - 119 	
Mar 23, 2008	 	111 - 115
Dec 14, 2007	 	106 - 108 		
Dec 9, 2007	 	    123 - 113
Mar 25, 2007	 	115 - 113
Feb 25, 2007	 	102 - 85
Jan 22, 2007	 	108 - 103
Nov 1, 2006	 	 	110 - 98
Apr 11, 2006	 	111 - 100
Mar 3, 2006	 	 	106 - 94
Jan 27, 2006	 	106 - 105 
Jan 14, 2006	 	110 - 104
Apr 18, 2005	 	 99 - 126 		
Jan 21, 2005	 	105 - 101 
Jan 15, 2005	 	104 - 102 
Dec 3, 2004	 	    97 - 88 
Apr 13, 2004	 	109 - 104 
Feb 18, 2004	 	100 - 99 
Dec 23, 2003	 	 98 - 107 		
Nov 2, 2003	 	    87 - 72 
Apr 16, 2003	 	117 - 111 
Jan 22, 2003	 	 110- 114 		
Dec 10, 2002	 	102 - 106 		
Nov 15, 2002	 	 96 - 89 
Mar 14, 2002	 	110 - 102 
Dec 26, 2001	 	 90 - 101 		
Dec 16, 2001	 	101 - 85
Nov 23, 2001	 	106 - 90
Mar 6, 2001	 	 	 97 - 85
Mar 4, 2001	 	    110 - 95
Dec 6, 2000	 	 	122 - 125 	 	
Nov 22, 2000	 	111 - 91 
Apr 5, 2000	 	 	111 - 104 
Mar 22, 2000	 	119 - 96 
Mar 9, 2000	 	 	109 - 92 
Dec 1, 1999	 	    93 - 75 
Apr 20, 1999	 	106 - 102 	
Apr 3, 1999	 	    76 - 81 		
Mar 12, 1999	 	 89 - 78 
Apr 11, 1998	 	 96 - 84 
Feb 11, 1998	 	105 - 99 
Dec 10, 1997	 	 92 - 93 
Nov 9, 1997	 	    132 - 97 
Apr 8, 1997	 	 	109 - 85 
Mar 12, 1997	 	109 - 101
Jan 24, 1997	 	114 - 97 
Nov 19, 1996	 	112 - 109 
Apr 12, 1996	 	 94 - 81 
Mar 14, 1996	 	106 - 103 
Jan 30, 1996	 	128 - 118 
Nov 11, 1995	 	105 - 123 
Mar 15, 1995	 	108 - 119 		
Jan 13, 1995	 	115 - 104 
Dec 27, 1994	 	105 - 129 		
Dec 6, 1994	 	    113 - 101
Nov 12, 1994	 	 99 - 121
Apr 23, 1994	 	 91 - 126
Apr 12, 1994	 	117 - 128
Jan 11, 1994	 	117 - 122
Dec 12, 1993	 	 97 - 100 		
Nov 18, 1993	 	 76 - 103 		
Apr 18, 1993	 	115 - 112 
Apr 8, 1993	 	 	116 - 122 	 	
Mar 3, 1993	 	 	117 - 111 
Nov 15, 1992	 	105 - 102 
Nov 10, 1992	 	107 - 106 
Feb 22, 1992	 	124 - 126 		
Feb 17, 1992	 	100 - 116 		
Jan 29, 1992	 	112 - 99 
Dec 30, 1991	 	 99 - 114 		
Nov 14, 1991	 	115 - 112 
Apr 17, 1991	  	111 - 118 		
Jan 6, 1991	 	    135 - 108 
Jan 4, 1991	 	 	 99 - 115 		
Dec 15, 1990	 	111 - 109 
Nov 18, 1990	 	115 - 93 
Apr 13, 1990	 	131 - 119 
Mar 9, 1990	 	    131 - 115 
Jan 6, 1990	 	 	131 - 133 		
Dec 29, 1989	 	130 - 111 
Nov 9, 1989	 	 	106 - 95 
Apr 8, 1989	 	 	116 - 122 		
Mar 12, 1989	 	126 - 115 
Mar 1, 1989	 	    142 - 121 
Feb 8, 1989	 	    118 - 121 		
Nov 8, 1988	 	 	114 - 102
Apr 24, 1988	 	136 - 100 
Mar 20, 1988	 	130 - 127 
Mar 4, 1988	 	    120 - 107 
Jan 12, 1988	 	117 - 113 
Dec 17, 1987	 	113 - 106 
Nov 14, 1987	 	118 - 110 
Mar 3, 1987	 	 	114 - 109 
Feb 27, 1987	 	121 - 109 
Jan 15, 1987	 	129 - 109 
Jan 10, 1987	 	109 - 124 		
Dec 7, 1986	 	    132 - 100 
Dec 4, 1986	 	 	106 - 116 		
Mar 30, 1986	 	124 - 117 
Mar 6, 1986	 	 	112 - 111 
Mar 3, 1986	 	    127 - 117 
Feb 11, 1986	 	113 - 137 		
