1951,13
1952,27
1953,18
1954,18
1955,15
1956,25
1957,15
1958,17
1959,18
1960,19
1961,23
1962,21
1963,16
1964,30
1965,21
1966,22
1967,21
1968,15
1969,15
1970,21
1971,27
1972,17
1973,12
1974,23
1975,14
1976,22
1977,19
1978,25
1979,22
1980,23
1981,23
1982,20
1983,23
1984,19
1985,17
1986,21
1987,16
1988,30
1989,19
1990,20
1991,19
1992,16
1993,32
1994,24
1995,16
1996,17
1997,14
1998,11
1999,16
2000,18
2001,17
2002,13
2003,25
2004,25
2005,17
2006,20
2007,13
2008,21
2009,22
2010,11
2011,19
2012,17
2013,25
2014,19
2015,15
2016,14
2017,22
