Lakers vs Warriors
419.    Feb 2, 2019	 	 	101 - 115 		
418.    Jan 21, 2019 	 	111 - 130 		
417.    Dec 25, 2018	 	127 - 101
416.    Mar 14, 2018	 	106 - 117 		
415.    Dec 22, 2017	 	106 - 113
414.    Dec 18, 2017	 	114 - 116 	 	
413.    Nov 29, 2017	 	123 - 127 	 	
412.    Apr 12, 2017	 	 94 - 109 		
411.    Nov 25, 2016	 	 85 - 109 		
410.    Nov 23, 2016	 	106 - 149 		
409.    Nov 4, 2016	 	    117 - 97
408.    Mar 6, 2016	 	    112 - 95 
407.    Jan 14, 2016	 	 98 - 116 		
406.    Jan 5, 2016	 	     88 - 109 		
405.    Nov 24, 2015	 	 77 - 111 		
404.    Mar 16, 2015	 	105 - 108 		
403.    Dec 23, 2014	 	115 - 105 
402.    Nov 16, 2014	 	115 - 136 		
401.    Nov 1, 2014	 	 	104 - 127 		
400.    Apr 11, 2014	 	 95 - 112 		
399.    Dec 21, 2013	 	 83 - 102 		
398.    Nov 22, 2013	 	102 - 95 
397.    Oct 30, 2013	 	 94 - 125 		
396.    Apr 12, 2013	 	118 - 116 
395.    Mar 25, 2013	  	103 - 109 		
394.    Dec 22, 2012	 	118 - 115 	
393.    Nov 9, 2012	 	    101 - 77 
392.    Apr 18, 2012	 	 99 - 87 
391.    Apr 1, 2012	 	    120 - 112
390.    Mar 27, 2012	 	104 - 101 
389.    Jan 6, 2012	 	     97 - 90 
388.    Apr 6, 2011	 	 	 87 - 95 		
387.    Jan 12, 2011	 	115 - 110
386.    Nov 21, 2010	 	117 - 89
385.    Oct 31, 2010	 	107 - 83
384.    Mar 15, 2010	 	124 - 121
383.    Feb 16, 2010	 	104 - 94
382.    Dec 29, 2009	 	124 - 118
381.    Nov 28, 2009	 	130 - 97
380.    Mar 19, 2009	 	114 - 106
379.    Feb 18, 2009	 	129 - 121
378.    Jan 7, 2009	 	 	114 - 106
377.    Dec 28, 2008	 	130 - 113 
376.    Mar 24, 2008	 	123 - 119 	
375.    Mar 23, 2008	 	111 - 115
374.    Dec 14, 2007	 	106 - 108 		
373.    Dec 9, 2007	 	    123 - 113
372.    Mar 25, 2007	 	115 - 113
371.    Feb 25, 2007	 	102 - 85
370.    Jan 22, 2007	 	108 - 103
369.    Nov 1, 2006	 	 	110 - 98
368.    Apr 11, 2006	 	111 - 100
367.    Mar 3, 2006	 	 	106 - 94
366.    Jan 27, 2006	 	106 - 105 
365.    Jan 14, 2006	 	110 - 104
364.    Apr 18, 2005	 	 99 - 126 		
363.    Jan 21, 2005	 	105 - 101 
362.    Jan 15, 2005	 	104 - 102 
361.    Dec 3, 2004	 	     97 - 88 
360.    Apr 13, 2004	 	109 - 104 
359.    Feb 18, 2004	 	100 - 99 
358.    Dec 23, 2003	 	 98 - 107 		
357.    Nov 2, 2003	 	     87 - 72 
356.    Apr 16, 2003	 	117 - 111 
355.    Jan 22, 2003	 	 110- 114 		
354.    Dec 10, 2002	 	102 - 106 		
353.    Nov 15, 2002	 	 96 - 89 
352.    Mar 14, 2002	 	110 - 102 
351.    Dec 26, 2001	 	 90 - 101 		
350.    Dec 16, 2001	 	101 - 85
349.    Nov 23, 2001	 	106 - 90
348.    Mar 6, 2001	 	 	 97 - 85
347.    Mar 4, 2001	 	    110 - 95
346.    Dec 6, 2000	 	 	122 - 125 	 	
345.    Nov 22, 2000	 	111 - 91 
344.    Apr 5, 2000	 	 	111 - 104 
343.    Mar 22, 2000	 	119 - 96 
342.    Mar 9, 2000	 	 	109 - 92 
341.    Dec 1, 1999	 	     93 - 75 
340.    Apr 20, 1999	 	106 - 102 	
339.    Apr 3, 1999	 	     76 - 81 		
338.    Mar 12, 1999	 	 89 - 78 
337.    Apr 11, 1998	 	 96 - 84 
336.    Feb 11, 1998	 	105 - 99 
335.    Dec 10, 1997	 	 92 - 93 
334.    Nov 9, 1997	 	    132 - 97 
333.    Apr 8, 1997	 	 	109 - 85 
332. 	Mar 12, 1997	 	109 - 101
331. 	Jan 24, 1997	 	114 - 97 
330. 	Nov 19, 1996	 	112 - 109 
329. 	Apr 12, 1996	 	 94 - 81 
328. 	Mar 14, 1996	 	106 - 103 
327. 	Jan 30, 1996	 	128 - 118 
326. 	Nov 11, 1995	 	105 - 123 
325. 	Mar 15, 1995	 	108 - 119 		
324. 	Jan 13, 1995	 	115 - 104 
323. 	Dec 27, 1994	 	105 - 129 		
322. 	Dec 6, 1994	 	    113 - 101
321. 	Nov 12, 1994	 	 99 - 121
320. 	Apr 23, 1994	 	 91 - 126
319. 	Apr 12, 1994	 	117 - 128
318. 	Jan 11, 1994	 	117 - 122
317. 	Dec 12, 1993	 	 97 - 100 		
316. 	Nov 18, 1993	 	 76 - 103 		
315. 	Apr 18, 1993	 	115 - 112 
314. 	Apr 8, 1993	 	 	116 - 122 	 	
313. 	Mar 3, 1993	 	 	117 - 111 
312. 	Nov 15, 1992	 	105 - 102 
311. 	Nov 10, 1992	 	107 - 106 
310. 	Feb 22, 1992	 	124 - 126 		
309. 	Feb 17, 1992	 	100 - 116 		
308. 	Jan 29, 1992	 	112 - 99 
307. 	Dec 30, 1991	 	 99 - 114 		
306. 	Nov 14, 1991	 	115 - 112 
305. 	Apr 17, 1991	  	111 - 118 		
304. 	Jan 6, 1991	 	    135 - 108 
303. 	Jan 4, 1991	 	 	 99 - 115 		
302. 	Dec 15, 1990	 	111 - 109 
301. 	Nov 18, 1990	 	115 - 93 
300. 	Apr 13, 1990	 	131 - 119 
299. 	Mar 9, 1990	 	    131 - 115 
298. 	Jan 6, 1990	 	 	131 - 133 		
297. 	Dec 29, 1989	 	130 - 111 
296. 	Nov 9, 1989	 	 	106 - 95 
295. 	Apr 8, 1989	 	 	116 - 122 		
294. 	Mar 12, 1989	 	126 - 115 
293. 	Mar 1, 1989	 	    142 - 121 
292. 	Feb 8, 1989	 	    118 - 121 		
291. 	Nov 8, 1988	 	 	114 - 102
290. 	Apr 24, 1988	 	136 - 100 
289. 	Mar 20, 1988	 	130 - 127 
288. 	Mar 4, 1988	 	    120 - 107 
287. 	Jan 12, 1988	 	117 - 113 
286. 	Dec 17, 1987	 	113 - 106 
285. 	Nov 14, 1987	 	118 - 110 
284. 	Mar 3, 1987	 	 	114 - 109 
